21;D0037069;172.16.223.29;SB-FBP011;SB-FBP-HTC05;SB-FBP011;;Amberfin HiRes Transcoder 05;https://SB-FBP011-ILO.rbb-online.de;;;;;;;;;;;;;;31.08.2016;TPS_FBP;Echtzeitsuche;;Amberfin;B;;24;441;1;Ausfallsicherheit;FBP.ESW.B3;3;;7;;;;;;;;;;;;;;
22;D0037085;;SB-FBP011;SB-FBP-HTC05;SB-FBP011;;Amberfin HiRes Transcoder 05;;;;;;;;;;;;;;;;;;;;;;24;441;2;;FBP.ESW.B4;3;;6;;;;;;;;;;;;;;
25;D0037071;;SB-FBP013;(frei);SB-FBP013;;Bladecenter Reserve;;;;;;;;;;;;;;;;;;;;;;24;441;1;Ausfallsicherheit;FBP.ESW.B3;3;;8;;;;;;;;;;;;;;
26;D0037087;;SB-FBP013;(frei);SB-FBP013;;Bladecenter Reserve;;;;;;;;;;;;;;;;;;;;;;24;441;2;;FBP.ESW.B4;3;;7;;;;;;;;;;;;;;
27;D0037072;;SB-FBP014;(frei);SB-FBP014;;Bladecenter Reserve;;;;;;;;;;;;;;;;;;;;;;24;441;1;Ausfallsicherheit;FBP.ESW.B3;4;;7;;;;;;;;;;;;;;
28;D0037088;;SB-FBP014;(frei);SB-FBP014;;Bladecenter Reserve;;;;;;;;;;;;;;;;;;;;;;24;441;2;;FBP.ESW.B4;4;;6;;;;;;;;;;;;;;
29;D0037073;;SB-FBP015;(frei);SB-FBP015;;Bladecenter Reserve;;;;;;;;;;;;;;;;;;;;;;24;441;1;Ausfallsicherheit;FBP.ESW.B3;3;;9;;;;;;;;;;;;;;
30;D0037089;;SB-FBP015;(frei);SB-FBP015;;Bladecenter Reserve;;;;;;;;;;;;;;;;;;;;;;24;441;2;;FBP.ESW.B4;3;;8;;;;;;;;;;;;;;
31;D0037074;;SB-FBP016;(frei);SB-FBP016;;Bladecenter Reserve;;;;;;;;;;;;;;;;;;;;;;24;441;1;Ausfallsicherheit;FBP.ESW.B3;4;;8;;;;;;;;;;;;;;
32;D0037090;;SB-FBP016;(frei);SB-FBP016;;Bladecenter Reserve;;;;;;;;;;;;;;;;;;;;;;24;441;2;;FBP.ESW.B4;4;;7;;;;;;;;;;;;;;
33;D0037091;172.16.223.32;SB-FBP017;SB-FBP-VAU04;SB-FBP017;;VPMS Admin Unit 04;https://SB-FBP017-ILO.rbb-online.de;;;;;;;;;;;;;;16.08.2016;TPS_FBP;Echtzeitsuche;;VPMS AdminUnit;A;;24;441;1;Ausfallsicherheit;FBP.ESW.B3;4;;9;;;;;;;;;;;;;;
34;D0037107;;SB-FBP017;SB-FBP-VAU04;SB-FBP017;;VPMS Admin Unit 04;;;;;;;;;;;;;;;;;;;;;;24;441;2;;FBP.ESW.B4;4;;8;;;;;;;;;;;;;;
