320;ZV8807;;SP-FBP010;SP-FBP-HTC05;SP-FBP010;10002 BL;Amberfin HiRes Transcoder 05;;;;;;;;;;;;;;;;;;;;;;24;555;2;;FBP.ESW.3;4;;7;;;;;;;;;;
321;ZZ9737;192.168.15.109;SP-FBP011;SP-FBP-LTC01;SP-FBP011;10002 BL;LoRes Transcoder 01;https://SP-FBP011-ILO.rbb-online.de;;;;;;;;;;;;;;16.12.2016;TPS_FBP;Echtzeitsuche;;LoResTranscoder;B;;24;555;1;Lastverteilung;FBP.ESW.4;4;;8;;;;;;;;;;
322;ZZ9748;;SP-FBP011;SP-FBP-LTC01;SP-FBP011;10002 BL;LoRes Transcoder 01;;;;;;;;;;;;;;;;;;;;;;24;555;2;;FBP.ESW.4;7;;8;;;;;;;;;;
323;ZV8808;192.168.15.110;SP-FBP012;SP-FBP-LTC03;SP-FBP012;10002 BL;LoRes Transcoder 03;https://SP-FBP012-ILO.rbb-online.de;;;;;;;;;;;;;;16.12.2016;TPS_FBP;Echtzeitsuche;;LoResTranscoder;B;;24;555;1;Lastverteilung;FBP.ESW.3;4;;8;;;;;;;;;;
324;ZV8820;;SP-FBP012;SP-FBP-LTC03;SP-FBP012;10002 BL;LoRes Transcoder 03;;;;;;;;;;;;;;;;;;;;;;24;555;2;;FBP.ESW.3;7;;8;;;;;;;;;;
325;ZZ9746;;SP-FBP013;Frei;SP-FBP013;10002 BL;Bladecenter Reserve;Remote via sp-mgmvpms01;;;;;;;;;;;;;;;;;;;;;24;555;1;Ausfallsicherheit;FBP.ESW.4;7;;5;;;;;;;;;;
326;ZV8818;;SP-FBP013;Frei;SP-FBP013;10002 BL;Bladecenter Reserve;;;;;;;;;;;;;;;;;;;;;;24;555;2;;FBP.ESW.3;7;;5;;;;;;;;;;
327;ZZ9738;;SP-FBP014;Frei;SP-FBP014;10002 BL;Bladecenter Reserve;Remote via sp-mgmvpms01;;;;;;;;;;;;;;;;;;;;;24;555;1;Ausfallsicherheit;FBP.ESW.4;4;;10;;;;;;;;;;
328;ZV8809;;SP-FBP014;Frei;SP-FBP014;10002 BL;Bladecenter Reserve;;;;;;;;;;;;;;;;;;;;;;24;555;2;;FBP.ESW.3;4;;10;;;;;;;;;;
329;ZZ9749;;SP-FBP015;Frei;SP-FBP015;10002 BL;Bladecenter Reserve;;;;;;;;;;;;;;;;;;;;;;24;555;1;Ausfallsicherheit;FBP.ESW.4;7;;10;;;;;;;;;;
330;ZV8821;;SP-FBP015;Frei;SP-FBP015;10002 BL;Bladecenter Reserve;;;;;;;;;;;;;;;;;;;;;;24;555;2;;FBP.ESW.3;7;;10;;;;;;;;;;
331;ZV8828;192.168.15.111;SP-FBP016;SP-FBP-VAU04;SP-FBP016;50406 BL;VPMS Admin Unit 04;https://SP-FBP016-ILO.rbb-online.de;;;;;;;;;;;;;;16.12.2016;TPS_FBP;Echtzeitsuche;;VPMS AdminUnit;A;;24;555;1;Ausfallsicherheit;FBP.ESW.4;4;;11;;;;;;;;;;
332;VV8852;;SP-FBP016;SP-FBP-VAU04;SP-FBP016;50406 BL;VPMS Admin Unit 04;;;;;;;;;;;;;;;;;;;;;;24;555;2;;FBP.ESW.3;4;;11;;;;;;;;;;
333;ZV8847;192.168.15.112;SP-FBP017;SP-FBP-VAU06;SP-FBP017;50406 BL;VPMS Admin Unit 06;https://SP-FBP017-ILO.rbb-online.de;;;;;;;;;;;;;;16.12.2016;TPS_FBP;Echtzeitsuche;;VPMS AdminUnit;A;;24;555;1;Ausfallsicherheit;FBP.ESW.4;7;;11;;;;;;;;;;
334;VV8870;;SP-FBP017;SP-FBP-VAU06;SP-FBP017;50406 BL;VPMS Admin Unit 06;;;;;;;;;;;;;;;;;;;;;;24;555;2;;FBP.ESW.3;7;;11;;;;;;;;;;
335;ZV8829;192.168.15.113;SP-FBP018;SP-FBP-VAU08;SP-FBP018;50406 BL;VPMS Admin Unit 08;https://SP-FBP018-ILO.rbb-online.de;;;;;;;;;;;;;;16.12.2016;TPS_FBP;Echtzeitsuche;;VPMS AdminUnit;A;;24;555;1;Ausfallsicherheit;FBP.ESW.4;4;;12;;;;;;;;;;
336;VV8853;;SP-FBP018;SP-FBP-VAU08;SP-FBP018;50406 BL;VPMS Admin Unit 08;;;;;;;;;;;;;;;;;;;;;;24;555;2;;FBP.ESW.3;4;;12;;;;;;;;;;
337;ZV8844;192.168.15.114;SP-FBP019;SP-FBP-VFU02;SP-FBP019;50406 BL;VPMS Fuser 02;https://SP-FBP019-ILO.rbb-online.de;;;;;;;;;;;;;;16.12.2016;TPS_FBP;Echtzeitsuche;;VPMS Fuser;A;;24;555;1;Ausfallsicherheit;FBP.ESW.4;7;;4;;;;;;;;;;
338;VV8867;;SP-FBP019;SP-FBP-VFU02;SP-FBP019;50406 BL;VPMS Fuser 02;;;;;;;;;;;;;;;;;;;;;;24;555;2;;FBP.ESW.3;7;;4;;;;;;;;;;
339;ZV8843;192.168.15.115;SP-FBP020;SP-FBP-VIF02;SP-FBP020;50406 BL;VPMS IFinder 02;https://SP-FBP020-ILO.rbb-online.de;;;;;;;;;;;;;;16.12.2016;TPS_FBP;Echtzeitsuche;;I-Finder;A;;24;555;1;Ausfallsicherheit;FBP.ESW.4;7;;3;;;;;;;;;;
340;VV8866;;SP-FBP020;SP-FBP-VIF02;SP-FBP020;50406 BL;VPMS IFinder 02;;;;;;;;;;;;;;;;;;;;;;24;555;2;;FBP.ESW.3;7;;3;;;;;;;;;;
341;ZV8848;192.168.15.116;SP-FBP021;--- SPAREBLADE ---;SP-FBP021;50406 BL;Bladecenter Spare;;;;;;;;;;;;;;;;;;;;;;24;555;1;Ausfallsicherheit;FBP.ESW.4;7;;12;;;;;;;;;;
342;VV8871;;SP-FBP021;--- SPAREBLADE ---;SP-FBP021;50406 BL;Bladecenter Spare;;;;;;;;;;;;;;;;;;;;;;24;555;2;;FBP.ESW.3;7;;12;;;;;;;;;;
343;ZV8830;;SP-FBP022;Frei;SP-FBP022;50406 BL;Bladecenter Reserve;;;;;;;;;;;;;;;;;;;;;;24;555;1;Ausfallsicherheit;FBP.ESW.4;4;;13;;;;;;;;;;
344;VV8854;;SP-FBP022;Frei;SP-FBP022;50406 BL;Bladecenter Reserve;;;;;;;;;;;;;;;;;;;;;;24;555;2;;FBP.ESW.3;4;;13;;;;;;;;;;
345;ZV8845;;SP-FBP023;Frei;SP-FBP023;50406 BL;Bladecenter Reserve;;;;;;;;;;;;;;;;;;;;;;24;555;1;Ausfallsicherheit;FBP.ESW.4;7;;7;;;;;;;;;;
346;VV8868;;SP-FBP023;Frei;SP-FBP023;50406 BL;Bladecenter Reserve;;;;;;;;;;;;;;;;;;;;;;24;555;2;;FBP.ESW.3;7;;7;;;;;;;;;;
347;ZV8831;192.168.15.118;SP-FBP024;SP-FBP-HTC04;SP-FBP024;50406 BL;Amberfin HiRes Transcoder 04;https://SP-FBP024-ILO.rbb-online.de;;;;;;;;;;;;;;16.12.2016;TPS_FBP;Echtzeitsuche;;Amverfins;B;;24;555;1;Ausfallsicherheit;FBP.ESW.4;4;;14;;;;;;;;;;
348;VV8855;;SP-FBP024;SP-FBP-HTC04;SP-FBP024;50406 BL;Amberfin HiRes Transcoder 04;;;;;;;;;;;;;;;;;;;;;;24;555;2;;FBP.ESW.3;4;;14;;;;;;;;;;
349;ZV8850;192.168.15.119;SP-FBP025;SP-FBP-HTC06;SP-FBP025;50406 BL;Amberfin HiRes Transcoder 06;https://SP-FBP025-ILO.rbb-online.de;;;;;;;;;;;;;;16.12.2016;TPS_FBP;Echtzeitsuche;;Amverfins;B;;24;555;1;Ausfallsicherheit;FBP.ESW.4;7;;14;;;;;;;;;;
350;VV8873;;SP-FBP025;SP-FBP-HTC06;SP-FBP025;50406 BL;Amberfin HiRes Transcoder 06;;;;;;;;;;;;;;;;;;;;;;24;555;2;;FBP.ESW.3;7;;14;;;;;;;;;;
351;ZV8827;192.168.15.120;SP-FBP026;SP-FBP-LTC02;SP-FBP026;50406 BL;LoRes Transcoder 02;https://SP-FBP026-ILO.rbb-online.de;;;;;;;;;;;;;;16.12.2016;TPS_FBP;Echtzeitsuche;;LoResTranscoder;B;;24;555;1;Lastverteilung;FBP.ESW.4;4;;9;;;;;;;;;;
352;ZV8846;;SP-FBP026;SP-FBP-LTC02;SP-FBP026;50406 BL;LoRes Transcoder 02;;;;;;;;;;;;;;;;;;;;;;24;555;2;;FBP.ESW.4;7;;9;;;;;;;;;;
353;VV8851;192.168.15.121;SP-FBP027;SP-FBP-LTC04;SP-FBP027;50406 BL;LoRes Transcoder 04;https://SP-FBP027-ILO.rbb-online.de;;;;;;;;;;;;;;16.12.2016;TPS_FBP;Echtzeitsuche;;LoResTranscoder;B;;24;555;1;Lastverteilung;FBP.ESW.3;4;;9;;;;;;;;;;
